Country,Temperature 100-Year Avg. 1922-2022 Centigrade,Average IQ
Burkina Faso,28.9,73.8
Japan,11.1,106.48
Taiwan,0,106.47
Singapore,27.2,105.89
Senegal,28.4,77.37
China,7.1,104.1
South Korea,11.6,102.35
Niger,27.7,70.82
Belarus,6.6,101.6
Finland,1.8,101.2
United Arab Emirates,27.6,82.05
Germany,8.8,100.74
Netherlands,9.8,100.74
Sudan,27.3,78.87
Estonia,5.5,100.72
Luxembourg,9.2,99.87
Qatar,27.3,80.78
Cambodia,27,99.75
Oman,27.2,78.7
Canada,-4.7,99.52
Australia,21.6,99.24
Chad,27.1,78.87
Hungary,10.8,99.24
Switzerland,5.7,99.24
United Kingdom,8.8,99.12
Slovenia,9,98.6
Bahrain,26.9,83.6
New Zealand,10.2,98.57
Austria,6.6,98.38
Sri Lanka,26.7,86.62
Iceland,1.5,98.26
Denmark,8.2,97.83
Thailand,26.5,88.87
Belgium,9.9,97.49
United States,9,97.43
Suriname,26.3,90.29
Norway,1.6,97.13
Sweden,2.6,97
France,10.9,96.69
Malaysia,26,87.58
Poland,8.1,96.35
Slovakia,8.2,96.32
Philippines,25.9,81.64
Russia,-4.7,96.29
Lithuania,6.6,95.89
Guyana,25.8,83.23
Croatia,11.1,95.75
Indonesia,25.7,78.49
Ireland,9.4,95.13
Kuwait,25.6,78.64
Latvia,6,94.79
Italy,12.6,94.23
Bangladesh,25.5,74.33
Spain,13.4,93.9
Jamaica,25.5,75.08
Cyprus,18.4,93.39
Saudi Arabia,25.4,76.36
Portugal,15.3,92.77
Israel,19.4,92.43
Panama,25.3,79
Malta,18.9,91.27
Myanmar,23.6,91.18
Mongolia,0.1,91.03
Brazil,24.9,83.38
Bulgaria,10.8,90.99
Greece,13.9,90.77
Colombia,24.7,83.13
Ukraine,8.5,90.07
Papua New Guinea,24.7,78.49
Moldavia,10.2,89.98
Serbia,10.7,89.6
India,24.6,76.24
Vietnam,24.5,89.53
Kenya,24.6,75.2
Uzbekistan,12.9,89.01
Kazakhstan,6.2,88.89
Armenia,7.3,88.82
Haiti,24.5,82.1
Bosnia and Herzegovina,9.6,88.54
Costa Rica,24.4,88.34
Bhutan,10.1,87.94
Chile,9.2,87.89
Mexico,20.8,87.73
Dominican Republic,24,82.05
Tajikistan,3.3,87.71
Uruguay,17.7,87.59
Mozambique,24,72.5
Laos,23.8,80.99
Paraguay,23.8,84.04
Romania,9.5,86.88
TÃ¼rkiye,11.2,86.8
Comoros,23.5,77.07
Argentina,14.9,86.63
Algeria,23.2,76
Mauritius,22.9,86.56
Turkmenistan,15.9,85.86
Egypt,22.7,76.32
Azerbaijan,12.4,84.81
Uganda,22.6,76.42
Georgia,8.5,84.5
Tanzania,22.5,74.95
Madagascar,22.4,76.79
Libya,22.3,80.92
Angola,21.5,75.1
Zimbabwe,21.4,74.01
Ecuador,21.2,78.26
Pakistan,20.9,80
Afghanistan,12.8,82.12
Bolivia,20.8,76.53
Burundi,20.1,72.09
North Macedonia,10.3,81.91
Tunisia,19.8,79.22
Albania,12,81.75
Peru,19.6,81.44
Lebanon,14.8,81.7
Jordan,18.9,80.7
Kyrgyzstan,1.8,79.09
Rwanda,18.7,69.95
Benin,27.7,69.71
Malawi,22.3,69.7
El Salvador,24.8,69.63
Botswana,21.6,69.45
Lesotho,11.8,68.87
South Africa,17.7,68.87
Eswatini,20.1,68.87
Zambia,21.8,68.43
Ethiopia,23,68.42
Cameroon,24.7,67.76
Nigeria,27,67.76
Morocco,17.7,67.03
Namibia,20.1,66.19
Congo,24.6,64.92
Gabon,25,62.97
Yemen,25.2,62.86
Central African Republic,25.2,62.55
Honduras,24.3,62.16
Togo,27,59.83
Mali,28.8,59.76
Mauritania,28.4,59.76
Ghana,27.3,58.16
Guinea,25.5,53.48
Guinea,27.5,53.48
Nicaragua,25.5,52.69
Gambia,27.9,52.68
Guatemala,23.2,47.72
Liberia,25.2,45.07
Sierra Leone,26.2,45.07
Nepal,13.8,42.99

