Battery;Car_name;Efficiency;Price.DE.;Range;Top_speed;acceleration..0.100.;
37.8;Abarth 500e Convertible;168;40990;225;155;7;
37.8;Abarth 500e Hatchback;168;37990;225;155;7;
60;Aiways U5;190;39563;315;150;7.5;
60;Aiways U6;171;47588;350;160;7;
85;Audi e-tron GT quattro;202;106050;420;245;4.1;
85;Audi e-tron GT RS;210;146050;405;250;3.3;
77;Audi Q4 e-tron 45;183;52950;420;180;6.7;
77;Audi Q4 e-tron 45 quattro;195;54950;395;180;6.6;
77;Audi Q4 e-tron 55 quattro;195;59000;395;180;5.4;
77;Audi Q4 Sportback e-tron 45;177;54950;435;180;6.7;
77;Audi Q4 Sportback e-tron 45 quattro;186;56950;415;180;6.6;
77;Audi Q4 Sportback e-tron 55 quattro;186;61000;415;180;5.4;
89;Audi Q8 e-tron 50 quattro;209;74400;425;200;6;
106;Audi Q8 e-tron 55 quattro;210;85300;505;200;5.6;
89;Audi Q8 e-tron Sportback 50 quattro;200;76650;445;200;6;
106;Audi Q8 e-tron Sportback 55 quattro;202;87550;525;200;5.6;
106;Audi SQ8 e-tron;233;95800;455;210;4.5;
106;Audi SQ8 e-tron Sportback;221;98050;480;210;4.5;
67;BMW i4 eDrive35;156;56500;430;190;6;
80.7;BMW i4 eDrive40;157;59200;515;190;5.7;
80.7;BMW i4 M50;179;70800;450;225;3.9;
81.2;BMW i5 eDrive40 Sedan;171;70200;475;193;6;
81.2;BMW i5 M60 xDrive Sedan;191;99500;425;230;3.8;
101.7;BMW i7 eDrive50;196;115700;520;205;5.5;
101.7;BMW i7 M70 xDrive;208;181800;490;250;3.7;
101.7;BMW i7 xDrive60;199;139900;510;240;4.7;
105.2;BMW iX M60;217;136100;485;250;3.8;
71;BMW iX xDrive40;197;77300;360;200;6.1;
105.2;BMW iX xDrive50;208;100100;505;200;4.6;
64.7;BMW iX1 eDrive20;166;47900;390;170;8.3;
64.7;BMW iX1 xDrive30;170;55000;380;180;5.6;
64.7;BMW iX2 xDrive30;170;56500;380;180;5.6;
74;BMW iX3;192;67300;385;180;6.8;
60.5;BYD ATTO 3;183;44625;330;160;7.3;
44.9;BYD DOLPHIN 44.9 kWh Active;176;29990;255;150;10;
44.9;BYD DOLPHIN 44.9 kWh Boost;176;32740;255;160;8;
60.5;BYD DOLPHIN 60.4 kWh;178;35990;340;160;7;
85.4;BYD HAN;180;70805;475;180;3.9;
82.5;BYD SEAL 82.5 kWh AWD Excellence;170;53668;485;180;3.8;
82.5;BYD SEAL 82.5 kWh RWD Design;165;47578;500;180;5.9;
86.4;BYD TANG;240;71400;360;180;4.6;
46.3;Citroen e-Berlingo M 50 kWh;226;37790;205;135;11.7;
46.3;Citroen e-Berlingo XL 50 kWh;226;43640;205;135;11.7;
44;Citroen e-C3;176;23300;250;135;11;
46.3;Citroen e-C4;160;36040;290;150;9.7;
50.8;Citroen e-C4 54 kWh;154;41540;330;150;10;
46.3;Citroen e-C4 X;162;37540;285;150;9.7;
50.8;Citroen e-C4 X 54 kWh;154;41540;330;150;10;
46.3;Citroen e-Jumpy Combi M 50 kWh;250;51940;185;130;12.1;
68;Citroen e-Jumpy Combi M 75 kWh;257;57940;265;130;13.3;
46.3;Citroen e-Jumpy Combi XL 50 kWh;257;52730;180;130;12.1;
68;Citroen e-Jumpy Combi XL 75 kWh;262;58730;260;130;13.3;
46.3;Citroen e-SpaceTourer M 50 kWh;250;53640;185;130;12.1;
68;Citroen e-SpaceTourer M 75 kWh;257;59640;265;130;13.3;
46.3;Citroen e-SpaceTourer XL 50 kWh;257;54430;180;130;12.1;
68;Citroen e-SpaceTourer XL 75 kWh;262;60430;260;130;13.3;
58;CUPRA Born 150 kW - 58 kWh;166;39370;350;160;7.3;
58;CUPRA Born 170 kW - 58 kWh;168;40750;345;160;6.6;
77;CUPRA Born 170 kW - 77 kWh;171;46450;450;160;7;
25;Dacia Spring Electric 45;152;22550;165;125;19.1;
25;Dacia Spring Electric 65 Extreme;156;24550;160;125;13.7;
50.8;DS 3 E-Tense;169;40540;300;150;9;
27;e.Go e.wave X;180;24990;150;135;12;
81;Elaris BEO 86 kWh;208;53090;390;150;8;
37.3;Fiat 500e 3+1 42 kWh;159;36990;235;150;9;
21.3;Fiat 500e Cabrio 24 kWh;158;35490;135;135;9;
37.3;Fiat 500e Cabrio 42 kWh;162;37990;230;150;9;
21.3;Fiat 500e Hatchback 24 kWh;158;30990;135;135;9;
37.3;Fiat 500e Hatchback 42 kWh;159;34990;235;150;9;
50.8;Fiat 600e;167;36490;305;150;9;
46.3;Fiat E-Ulysse L2 50 kWh;250;55990;185;130;12.1;
68;Fiat E-Ulysse L2 75 kWh;257;61990;265;130;13.3;
46.3;Fiat E-Ulysse L3 50 kWh;257;56990;180;130;12.1;
68;Fiat E-Ulysse L3 75 kWh;262;62990;260;130;13.3;
106.5;Fisker Ocean Extreme;201;69950;530;205;3.9;
106.5;Fisker Ocean One;201;69950;530;205;3.9;
75;Fisker Ocean Sport;197;41560;380;160;7.4;
106.5;Fisker Ocean Ultra;199;57000;535;200;4.2;
91;Ford Mustang Mach-E ER AWD;204;65900;445;180;5.8;
91;Ford Mustang Mach-E ER RWD;190;58500;480;180;7;
91;Ford Mustang Mach-E GT;214;77300;425;200;3.7;
72.6;Ford Mustang Mach-E SR RWD;191;55800;380;180;7.3;
82.5;Genesis G80 Electrified Luxury;188;69200;440;225;4.9;
74;Genesis GV60 Sport;195;63200;380;200;5.5;
74;Genesis GV60 Sport Plus;203;73100;365;235;4;
74;Genesis GV70 Electrified Sport;211;67300;350;235;4.2;
28.5;Honda e Advance;168;39900;170;145;8.3;
61.9;Honda e:Ny1;185;47590;335;160;7.6;
74;Hyundai IONIQ 5 Long Range 2WD;190;47900;390;185;7.3;
74;Hyundai IONIQ 5 Long Range AWD;192;59200;385;185;5.1;
54;Hyundai IONIQ 5 Standard Range 2WD;183;43900;295;185;8.5;
74;Hyundai IONIQ 6 Long Range 2WD;149;54000;495;185;7.4;
74;Hyundai IONIQ 6 Long Range AWD;168;61100;440;185;5.1;
54;Hyundai IONIQ 6 Standard Range 2WD;148;43900;365;185;8.8;
39.2;Hyundai Kona Electric 39 kWh;160;36400;245;155;9.9;
48.4;Hyundai Kona Electric 48 kWh;167;41990;290;160;7.8;
64;Hyundai Kona Electric 64 kWh;164;42900;390;167;7.9;
65.4;Hyundai Kona Electric 65 kWh;168;47190;390;170;8.8;
84.7;Jaguar I-Pace EV400;223;92400;380;200;4.8;
50.8;Jeep Avenger Electric;164;37000;310;150;9;
64;Kia e-Soul 64 kWh;173;46950;370;167;7.9;
74;Kia EV6 GT;206;72990;360;260;3.5;
74;Kia EV6 Long Range 2WD;180;51990;410;185;7.3;
74;Kia EV6 Long Range AWD;185;55980;400;185;5.2;
54;Kia EV6 Standard Range 2WD;177;46990;305;185;8.5;
96;Kia EV9 99.8 kWh AWD;226;76490;425;200;6;
96;Kia EV9 99.8 kWh AWD GT-Line;231;82380;415;200;5.3;
96;Kia EV9 99.8 kWh RWD;213;72490;450;185;9.4;
64.8;Kia Niro EV;168;45690;385;167;7.8;
64;Lexus RZ 450e;200;68000;320;160;5.6;
109;Lotus Eletre;220;95990;495;250;4.5;
109;Lotus Eletre R;240;150990;455;260;2.9;
118;Lucid Air Dream Edition P;177;218000;665;270;2.7;
118;Lucid Air Dream Edition R;172;218000;685;270;2.9;
112;Lucid Air Grand Touring;168;159000;665;270;3;
92;Lucid Air Pure AWD;156;109000;590;200;4.2;
92;Lucid Air Touring;159;129000;580;250;3.2;
84;Maxus MIFA 9;230;68990;365;180;9.2;
30;Mazda MX-30;176;35990;170;140;9.7;
66.5;Mercedes EQA 250;164;50777;405;160;8.6;
70.5;Mercedes EQA 250+;164;52205;430;160;8.6;
66.5;Mercedes EQA 300 4MATIC;187;53520;355;160;7.7;
66.5;Mercedes EQA 350 4MATIC;187;56424;355;160;6;
70.5;Mercedes EQB 250+;170;53514;415;160;8.9;
66.5;Mercedes EQB 300 4MATIC;193;55519;345;160;8;
66.5;Mercedes EQB 350 4MATIC;193;58197;345;160;6.2;
89;Mercedes EQE 300;170;67187;525;210;7.3;
89;Mercedes EQE 350;173;70995;515;210;6.4;
89;Mercedes EQE 350 4MATIC;176;74149;505;210;6.3;
90.6;Mercedes EQE 500 4MATIC;179;88215;505;210;4.7;
90.6;Mercedes EQE AMG 43 4MATIC;195;104756;465;210;4.2;
90.6;Mercedes EQE AMG 53 4MATIC+;195;110706;465;220;3.5;
90.6;Mercedes EQE SUV 300;201;83479;450;210;7.6;
90.6;Mercedes EQE SUV 350 4MATIC;208;89548;435;210;6.6;
96;Mercedes EQE SUV 350+;202;86811;475;210;6.9;
96;Mercedes EQE SUV 500 4MATIC;211;99841;455;210;4.9;
90.6;Mercedes EQE SUV AMG 43 4MATIC;218;124920;415;210;4.3;
90.6;Mercedes EQE SUV AMG 53 4MATIC+;221;139438;410;240;3.5;
108.4;Mercedes EQS 450 4MATIC;178;113359;610;210;5.6;
108.4;Mercedes EQS 450+;171;109551;635;210;6.1;
108.4;Mercedes EQS 500 4MATIC;184;125378;590;210;4.8;
108.4;Mercedes EQS 580 4MATIC;184;141705;590;210;4.3;
108.4;Mercedes EQS AMG 53 4MATIC+;203;155009;535;250;3.4;
108.4;Mercedes EQS SUV 450 4MATIC;221;114609;490;210;6;
108.4;Mercedes EQS SUV 450+;217;110801;500;210;6.7;
108.4;Mercedes EQS SUV 500 4MATIC;221;124545;490;210;5.2;
108.4;Mercedes EQS SUV 580 4MATIC;224;135434;485;210;4.6;
45;Mercedes EQT 200 Standard;200;49445;225;132;12.6;
60;Mercedes EQV 250 Extra-Long;286;68949;210;160;12;
60;Mercedes EQV 250 Long;286;68056;210;160;12;
90;Mercedes EQV 300 Extra-Long;290;72519;310;160;12.1;
90;Mercedes EQV 300 Long;290;71626;310;160;12.1;
60;Mercedes eVito Tourer Extra-Long 60 kWh;293;61571;205;160;12;
90;Mercedes eVito Tourer Extra-Long 90 kWh;295;65140;305;160;12;
60;Mercedes eVito Tourer Long 60 kWh;286;60678;210;160;12;
90;Mercedes eVito Tourer Long 90 kWh;290;64248;310;160;12;
70;MG Marvel R;192;46990;365;200;7.9;
70;MG Marvel R Performance;200;50990;350;200;4.9;
50.8;MG MG4 Electric 51 kWh;169;34990;300;160;7.7;
61.7;MG MG4 Electric 64 kWh;171;39990;360;160;7.9;
74.4;MG MG4 Electric 77 kWh;175;45990;425;180;6.5;
61.7;MG MG4 Electric XPOWER;193;46990;320;200;3.8;
57.4;MG MG5 Electric Long Range;171;38490;335;185;7.7;
46;MG MG5 Electric Standard Range;174;35490;265;185;7.7;
68.3;MG ZS EV Long Range;185;37990;370;175;8.4;
49;MG ZS EV Standard Range;185;33990;265;175;8.6;
28.9;Mini Cooper SE;161;35700;180;150;7.3;
49;Mini Cooper SE;158;36900;310;170;6.7;
90;NIO EL6 100 kWh;205;74500;440;200;4.5;
70.5;NIO EL6 75 kWh;201;65500;350;200;4.5;
90;NIO EL7 100 kWh;209;94900;430;200;3.9;
70.5;NIO EL7 75 kWh;207;85900;340;200;3.9;
90;NIO ET5 100 kWh;180;68500;500;200;4;
70.5;NIO ET5 75 kWh;178;59500;395;200;4;
90;NIO ET5 Touring 100 kWh;186;68500;485;200;4;
70.5;NIO ET5 Touring 75 kWh;183;59500;385;200;4;
90;NIO ET7 100 kWh;178;90900;505;200;3.8;
70.5;NIO ET7 75 kWh;176;81900;400;200;3.8;
63;Nissan Ariya 63kWh;188;47490;335;160;7.5;
87;Nissan Ariya 87kWh;193;58990;450;160;7.6;
87;Nissan Ariya e-4ORCE 87kWh - 225 kW;215;61990;405;200;5.7;
87;Nissan Ariya e-4ORCE 87kWh - 290 kW;215;71490;405;200;5.1;
39;Nissan Leaf;166;33400;235;144;7.9;
59;Nissan Leaf e+;174;41100;340;157;6.9;
45;Nissan Townstar EV Passenger;200;39990;225;132;12.6;
50.8;Opel Astra Electric;167;41990;305;170;9.2;
50.8;Opel Astra Sports Tourer Electric;169;43490;300;170;9.3;
46.3;Opel Combo-e Life 50 kWh;226;43050;205;135;11.7;
46.3;Opel Combo-e Life XL 50 kWh;232;44750;200;135;11.7;
46.3;Opel Corsa Electric 50 kWh;157;34650;295;150;8.7;
48.1;Opel Corsa Electric 51 kWh;153;38045;315;150;8.1;
46.3;Opel Mokka-e;178;40650;260;150;9.2;
46.3;Opel Vivaro-e Combi L 50 kWh;257;51825;180;130;12.1;
68;Opel Vivaro-e Combi L 75 kWh;262;57775;260;130;13.3;
46.3;Opel Vivaro-e Combi M 50 kWh;250;50992;185;130;12.1;
68;Opel Vivaro-e Combi M 75 kWh;257;56942;265;130;13.3;
46.3;Opel Zafira-e Life L 50 kWh;257;64075;180;130;12.1;
68;Opel Zafira-e Life L 75 kWh;262;70075;260;130;13.3;
46.3;Opel Zafira-e Life M 50 kWh;250;63250;185;130;12.1;
68;Opel Zafira-e Life M 75 kWh;257;69250;265;130;13.3;
45.4;ORA Funky Cat 48 kWh;175;38990;260;160;8.3;
59.3;ORA Funky Cat 63 kWh;174;44490;340;160;8.2;
59.3;ORA Funky Cat GT;180;49490;330;160;8.2;
50.8;Peugeot e-2008 54 kWh;169;40050;300;150;9.1;
46.3;Peugeot e-208;162;39100;285;150;8.1;
48.1;Peugeot e-208 51 kWh;155;36775;310;150;8.2;
50.8;Peugeot e-308;169;44765;300;170;9.8;
50.8;Peugeot e-308 SW;169;45765;300;150;9;
46.3;Peugeot e-Expert Combi Long 50 kWh;250;52730;185;130;13.1;
68;Peugeot e-Expert Combi Long 75 kWh;262;58730;260;130;14.3;
46.3;Peugeot e-Expert Combi Standard 50 kWh;250;51940;185;130;13.1;
68;Peugeot e-Expert Combi Standard 75 kWh;257;57940;265;130;14.3;
46.3;Peugeot e-Rifter Long 50 kWh;232;42440;200;135;11.7;
46.3;Peugeot e-Rifter Standard 50 kWh;226;41240;205;135;11.7;
46.3;Peugeot e-Traveller Long 50 kWh;250;54430;185;130;13.1;
68;Peugeot e-Traveller Long 75 kWh;262;60430;260;130;14.3;
46.3;Peugeot e-Traveller Standard 50 kWh;250;53640;185;130;13.1;
68;Peugeot e-Traveller Standard 75 kWh;257;59640;265;130;14.3;
79;Polestar 2 Long Range Dual Motor;176;58775;450;205;4.5;
79;Polestar 2 Long Range Performance;176;65275;450;205;4.2;
79;Polestar 2 Long Range Single Motor;168;54475;470;205;6.2;
67;Polestar 2 Standard Range Single Motor;165;50775;405;205;6.4;
107;Polestar 3 Long Range Dual motor;218;88600;490;210;5;
107;Polestar 3 Long Range Performance;228;95200;470;210;4.7;
71;Porsche Taycan;169;93139;420;230;5.4;
83.7;Porsche Taycan 4 Cross Turismo;190;103254;440;220;5.1;
71;Porsche Taycan 4S;171;114559;415;250;4;
83.7;Porsche Taycan 4S Cross Turismo;190;119914;440;240;4.1;
83.7;Porsche Taycan 4S Plus;174;120081;480;250;4;
83.7;Porsche Taycan 4S Plus Sport Turismo;195;120081;430;250;4;
71;Porsche Taycan 4S Sport Turismo;192;114559;370;250;4;
83.7;Porsche Taycan GTS;186;139906;450;250;3.7;
83.7;Porsche Taycan GTS Sport Turismo;197;140858;425;250;3.7;
83.7;Porsche Taycan Plus;173;98863;485;230;5.4;
83.7;Porsche Taycan Plus Sport Turismo;188;99815;445;230;5.4;
71;Porsche Taycan Sport Turismo;187;94091;380;230;5.4;
83.7;Porsche Taycan Turbo;188;164420;445;260;3.2;
83.7;Porsche Taycan Turbo Cross Turismo;197;165848;425;250;3.3;
83.7;Porsche Taycan Turbo S;195;197740;430;260;2.8;
83.7;Porsche Taycan Turbo S Cross Turismo;204;199168;410;250;2.9;
83.7;Porsche Taycan Turbo S Sport Turismo;212;198692;395;260;2.8;
83.7;Porsche Taycan Turbo Sport Turismo;207;165372;405;260;3.2;
45;Renault Kangoo E-Tech Electric;205;39300;220;132;12.6;
40;Renault Megane E-Tech EV40 130hp;154;42000;260;150;10;
60;Renault Megane E-Tech EV60 130hp;158;47000;380;150;10.5;
60;Renault Megane E-Tech EV60 220hp;158;46600;380;160;7.4;
21.3;Renault Twingo Electric;158;28000;135;135;12.6;
52;Renault Zoe ZE50 R110;165;36840;315;135;11.4;
52;Renault Zoe ZE50 R135;168;37840;310;140;9.5;
58;Skoda Enyaq 60;171;44200;340;160;8.7;
77;Skoda Enyaq 85;169;48900;455;180;6.7;
77;Skoda Enyaq 85x;175;51150;440;180;6.6;
77;Skoda Enyaq Coupe 85;159;51150;485;180;6.7;
77;Skoda Enyaq Coupe 85x;164;53400;470;180;6.6;
77;Skoda Enyaq Coupe RS;169;63300;455;180;5.5;
77;Skoda Enyaq RS;177;61050;435;180;5.5;
62;Smart #1;185;42490;335;180;6.7;
62;Smart #1 Brabus;197;48990;315;180;3.9;
47;Smart #1 Pro;184;37490;255;180;6.7;
62;Smart #1 Pulse;194;46490;320;180;3.9;
62;Smart #3;175;43490;355;180;6.7;
62;Smart #3 Brabus;188;50990;330;180;3.7;
56;SsangYong Korando e-Motion;193;40490;290;156;8.5;
64;Subaru Solterra AWD;200;57490;320;160;6.9;
57.5;Tesla Model 3;137;46220;420;201;6.1;
75;Tesla Model 3 Long Range Dual Motor;149;55220;505;201;4.4;
95;Tesla Model S Dual Motor;165;95970;575;250;3.2;
95;Tesla Model S Plaid;170;110970;560;282;2.1;
95;Tesla Model X Dual Motor;200;100970;475;250;3.9;
95;Tesla Model X Plaid;209;115970;455;262;2.6;
57.5;Tesla Model Y;164;47567;350;217;6.9;
57.5;Tesla Model Y;164;47567;350;217;6.9;
75;Tesla Model Y Long Range Dual Motor;172;59017;435;217;5;
75;Tesla Model Y Performance;181;63667;415;250;3.7;
64;Toyota bZ4X AWD;203;57390;315;160;6.9;
64;Toyota bZ4X FWD;188;47490;340;160;7.5;
46.3;Toyota Proace City Verso Electric L1 50 kWh;220;37800;210;135;11.2;
46.3;Toyota Proace City Verso Electric L2 50 kWh;226;40150;205;135;11.2;
68;Toyota PROACE Verso L 75 kWh;262;65385;260;130;13.1;
68;Toyota PROACE Verso M 75 kWh;257;64530;265;130;13.1;
87.7;VinFast VF 8 Eco Extended Range;206;52990;425;200;5.9;
87.7;VinFast VF 8 Plus Extended Range;206;58890;425;200;5.5;
123;VinFast VF 9 Extended Range;237;89790;520;200;6.5;
77;Volkswagen ID. Buzz Pro;223;64581;345;145;10.2;
58;Volkswagen ID.3 Pro;166;39995;350;160;7.3;
77;Volkswagen ID.3 Pro S - 4 Seats;169;47595;455;160;7.9;
77;Volkswagen ID.4 GTX;183;53255;420;180;5.4;
77;Volkswagen ID.4 Pro;177;46335;435;180;6.7;
77;Volkswagen ID.4 Pro 4MOTION;181;49020;425;180;6.6;
52;Volkswagen ID.4 Pure;182;40335;285;160;9;
77;Volkswagen ID.5 GTX;179;56455;430;180;5.5;
77;Volkswagen ID.5 Pro;169;48970;455;180;6.7;
77;Volkswagen ID.7 Pro;162;56995;475;180;6.5;
66;Volvo C40 Recharge Single Motor;186;47500;355;180;7.3;
79;Volvo C40 Recharge Single Motor ER;188;54450;420;180;7.3;
79;Volvo C40 Recharge Twin Motor;198;61400;400;180;4.7;
49;Volvo EX30 Single Motor;175;36590;280;180;5.7;
64;Volvo EX30 Single Motor ER;173;41790;370;180;5.3;
64;Volvo EX30 Twin Motor Performance;178;48490;360;180;3.6;
107;Volvo EX90 Twin Motor;230;105550;465;180;5.9;
107;Volvo EX90 Twin Motor Performance;238;110650;450;180;4.9;
66;Volvo XC40 Recharge Single Motor;191;47500;345;180;7.3;
79;Volvo XC40 Recharge Single Motor ER;195;53000;405;180;7.3;
79;Volvo XC40 Recharge Twin Motor;203;59950;390;180;4.8;
94;Zeekr 001 Long Range RWD;177;60970;530;200;7.2;
94;Zeekr 001 Performance AWD;186;63970;505;200;3.8;
94;Zeekr 001 Privilege AWD;188;68970;500;200;3.8;
64;Zeekr X Long Range RWD;178;45970;360;180;5.6;
64;Zeekr X Privilege AWD;183;50470;350;180;3.8;
;;;;;;;
;;;;;;;
;;;;;;;
Capacità Batteria;Media;Moda;Mediana;1 Quartile;3 Quartile;Min;Max
KW/h;74,49132948;77;74;64;89;25;123
;;;;;;;
Efficienza;Media;Moda;Mediana;1 Quartile;3 Quartile;Min;Max
Wh/Km;195,4142395;257;187;171;89;137;295
;;;;;;;
Prezzo;Media;Moda;Mediana;1 Quartile;3 Quartile;Min;Max
€;67264,28479;37990;56942;45690;73100;22550;218000
;;;;;;;
Range;Media;Moda;Mediana;1 Quartile;3 Quartile;Min;Max
Km;369,1262136;260;380;295;73886,75;135;685
;;;;;;;
Velocità Massima;Media;Moda;Mediana;1 Quartile;3 Quartile;Min;Max
Km/h;181,1294498;180;180;155;200;125;282
;;;;;;;
0-100;Media;Moda;Mediana;1 Quartile;3 Quartile;Min;Max
sec;7,64;9;7,5;6;9;3;12
